"R/au","He-Ne","R/au","He-Ar","R/au","Ne-Ar"
"3.75","4652.3159","4.25","8089.6801","4.75","5870.2449"
"4.25","1161.0852","4.75","2519.3104","5.25","1482.5734"
"4.75","194.3348","5.25","641.2364","5.75","156.1510"
"5.00","35.8377","5.75","64.9646","6.00","-71.2144"
"5.25","-35.0111","6.00","-34.8179","6.25","-171.3439"
"5.50","-61.4825","6.25","-78.9826","6.50","-203.7993"
"5.65","-66.1552","6.50","-93.3486","6.65","-205.4842"
"5.75","-66.5520","6.65","-94.0819","6.75","-202.1819"
"5.85","-65.4959","6.75","-92.5964","7.00","-185.0246"
"6.00","-62.1448","7.00","-84.9810","7.50","-138.8056"
"6.50","-45.7368","7.50","-63.6145","8.00","-98.0725"
"7.00","-31.0195","8.50","-31.8675","8.50","-68.2407"
"7.50","-20.6777","9.50","-15.8682","9.50","-33.7042"
"8.00","-13.8840","10.50","-8.3894","10.50","-17.6746"
"9.00","-6.6048","11.50","-4.7537","11.50","-9.8666"
"10.00","-3.3983","13.00","-2.1793","13.00","-4.5419"
"12.00","-1.0907","15.00","-0.8969","15.00","-1.8604"
"14.00","-0.4235","16.00","-0.6028","16.00","-1.2484"
"16.00","-0.1882","18.00","-0.2932","17.00","-0.8598"
"17.00","-0.1305","19.00","-0.2108","18.00","-0.6057"
"18.00","-0.0926","20.00","-0.1541","19.00","-0.4351"
"19.00","-0.0669","","","20.00","-0.3187"
"20.00","-0.0491","","","",""