0.4;288845.25308101
0.5;409868.26070503
0.6;92743.26678611
0.7;43104.19299804
0.8;28325.40545356
0.9;19420.75844525
1.0;13357.9301942
1.1;9363.44875995
1.2;6417.81515545
1.3;4683.20324773
1.4;3553.05049553
1.5;2720.86897747
1.6;2057.80046036
1.7000000000000002;1543.85156186
1.7999999999999998;1149.78806297
1.9000000000000001;849.79494696
2.0;623.30206895
2.1;453.79079335
2.2;327.98195523
2.3;235.28446876
2.4;167.51740932
2.5;118.27935621
2.6;82.75124162
2.7;57.27246577
2.8;39.12587745
2.9;26.29211211
3.0;17.29340398
3.1000000000000005;11.03974028
3.2;6.74224177
3.3;3.82913769
3.4000000000000004;1.88861954
3.5;0.62770155
3.6;-0.16833433
3.7;-0.64536914
3.8;-0.90919498
3.9000000000000004;-1.03218617
4.0;-1.06484647
4.1;-1.04070221
4.2;-0.98483679
4.3;-0.91214793
4.4;-0.83238363
4.5;-0.75182375
4.6;-0.67425514
4.7;-0.601799
4.8;-0.53546333
4.9;-0.4755689
5.0;-0.42200784
5.1;-0.37442671
5.2;-0.33234523
5.300000000000001;-0.29523238
5.4;-0.26255485
5.5;-0.23380203
5.6;-0.20850224
5.7;-0.18622951
5.8;-0.16652
5.9;-0.14921476
6.0;-0.13392737
6.1;-0.12040209
6.200000000000001;-0.10841659
6.300000000000001;-0.09777771
6.4;-0.08831815
6.5;-0.0798926
6.6;-0.07237513
6.7;-0.06565637
6.800000000000001;-0.05964125
6.9;-0.0542472
7.0;-0.04940214
7.1;-0.04504315
7.2;-0.04111552
7.300000000000001;-0.03757091
7.4;-0.03436745
7.5;-0.03146809
7.6;-0.02884015
7.7;-0.02645515
7.800000000000001;-0.02428769
7.9;-0.02231554
8.0;-0.02051868
8.1;-0.01887964
8.2;-0.01738292
8.3;-0.01601437
8.4;-0.01476187
8.5;-0.01361436
8.6;-0.01256176
8.7;-0.01159542
8.8;-0.01070729
8.9;-0.00989043
9.0;-0.00913825
9.1;-0.00844515
9.2;-0.00780587
9.3;-0.00721574
9.4;-0.00667054
9.5;-0.00616647
9.6;-0.00570012
9.7;-0.0052682
9.8;-0.00486803
9.9;-0.00449691
10.0;-0.00415259
10.1;-0.00383284
10.2;-0.00353622
10.3;-0.00326004
10.4;-0.00300312
10.5;-0.002764
10.6;-0.0025412
10.7;-0.00233372
10.8;-0.00214023
10.9;-0.00195974
11.0;-0.00179129
11.1;-0.00163408
11.2;-0.00148714
11.3;-0.0013499
11.4;-0.00122154
11.5;-0.00110154
11.6;-0.00098925
11.7;-0.00088411
11.8;-0.00078575
11.9;-0.00069354
12.0;-0.00060714
12.100000000000001;-0.00052628
12.2;-0.00045035
12.3;-0.00037923
12.4;-0.00031248
12.5;-0.00024979
12.600000000000001;-0.00019108
12.7;-0.00013593
12.8;-8.417e-05
12.9;-3.559e-05
13.0;1.014e-05
13.100000000000001;5.295e-05
13.2;9.325e-05
13.3;0.00013112
13.4;0.00016659
13.5;0.00019997
13.600000000000001;0.00023133
13.7;0.00026081
13.8;0.00028849
13.9;0.00031449
14.0;0.00033889
14.100000000000001;0.00036185
14.2;0.00038339
14.3;0.00040361
14.4;0.00042259
14.5;0.00044045
14.600000000000001;0.00045713
14.7;0.00047285
14.8;0.00048752
14.9;0.00050132
15.0;0.00051426
15.100000000000001;0.00052634
15.2;0.00053765
15.3;0.00054824
15.4;0.00055816
15.5;0.00056739
15.600000000000001;0.00057602
15.7;0.00058407
15.8;0.00059158
15.9;0.00059853
16.0;0.00060502
16.1;0.00061104
16.2;0.00061664
16.3;0.0006218
16.4;0.00062657
16.5;0.000631
16.6;0.00063504
16.7;0.00063876
16.8;0.00064216
16.9;0.00064524
17.0;0.00064802
17.1;0.00065059
17.2;0.00065265
17.3;0.00065473
17.4;0.00065653
17.5;0.00065817
17.6;0.00065956
17.7;0.00066078
17.8;0.00066182
17.9;0.00066267
18.0;0.00066338
18.1;0.00066394
18.2;0.00066437
18.3;0.0006646
18.4;0.00066474
18.5;0.00066472
18.6;0.0006646
18.7;0.00066436
18.8;0.00066408
18.9;0.00066357
19.0;0.00066305
19.1;0.00066246
19.2;0.00066175
19.3;0.00066096
19.4;0.00066008
19.5;0.00065917
19.6;0.00065816
19.7;0.00065711
19.8;0.00065596
19.9;0.00065477
20.0;0.00065354
20.1;0.00065225
20.2;0.00065092
20.3;0.00064956
20.4;0.00064813
20.5;0.00064668
20.6;0.00064518
20.7;0.00064364
20.8;0.00064206
20.9;0.00064049
21.0;0.00063883
21.1;0.00063721
21.2;0.00063552
21.3;0.00063384
21.4;0.0006321
21.5;0.00063037
21.6;0.00062859
21.7;0.00062683
21.8;0.00062502
21.9;0.00062322
22.0;0.00062138
22.1;0.00061957
22.2;0.00061771
22.3;0.00061587
22.4;0.00061399
22.5;0.00061212
22.6;0.00061026
22.7;0.00060835
22.8;0.00060647
22.9;0.00060453
23.0;0.00060266
23.1;0.00060073
23.200000000000003;0.00059885
23.3;0.00059693
23.4;0.00059501
23.5;0.00059309
23.6;0.00059118
23.700000000000003;0.00058925
23.8;0.00058735
23.9;0.00058543
24.0;0.00058353
24.099999999999998;0.00058161
24.200000000000003;0.0005797
24.3;0.00057777
24.4;0.00057589
24.5;0.00057398
24.599999999999998;0.00057209
24.7;0.00057019
24.8;0.00056829
24.9;0.0005664
25.0;0.00056455
25.1;0.00056266
25.2;0.0005608
25.299999999999997;0.00055892
25.4;0.00055707
25.5;0.00055521
25.6;0.00055335
25.700000000000003;0.0005515
25.8;0.00054969
25.9;0.00054785
26.0;0.00054602
26.099999999999998;0.0005442
26.2;0.0005424
26.3;0.00054056
26.4;0.00053878
26.5;0.00053699
26.599999999999998;0.00053522
26.7;0.00053343
26.799999999999997;0.00053168
26.9;0.0005299
27.0;0.00052817
27.1;0.00052641
27.200000000000003;0.00052467
27.299999999999997;0.00052294
27.4;0.00052123
27.5;0.00051952
27.6;0.00051779
27.700000000000003;0.00051609
27.8;0.00051441
27.9;0.00051274
28.0;0.00051103
28.099999999999998;0.00050938
28.2;0.00050772
28.3;0.00050606
28.4;0.00050443
28.5;0.00050279
28.599999999999998;0.00050116
28.7;0.00049954
28.799999999999997;0.00049792
28.9;0.00049631
29.0;0.00049473
29.1;0.00049317
29.200000000000003;0.00049157
29.299999999999997;0.00049
29.4;0.00048843
29.5;0.00048686
29.6;0.00048532
29.700000000000003;0.00048377
29.8;0.00048224
29.9;0.00048073
30.0;0.00047919
